iso_code,continent,location,date,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,population
AFG,Asia,Afghanistan,18/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,24/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,25/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,27/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,28/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,31/05/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,06/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,12/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,13/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,14/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,17/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,18/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,24/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,25/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,27/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,28/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/06/2020,84.26,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/06/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
